category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime,total_year_profit
Alcoholic beverages,Spirits,2015-11-01,28095,2024/08/13 09:31:54,334473
Meats and poultry,Poultry,1996-12-01,28724,2024/08/13 09:31:54,333535
Meats and poultry,Poultry,1996-11-01,28563,2024/08/13 09:31:54,333535
Meats and poultry,Poultry,1996-10-01,28437,2024/08/13 09:31:54,333535
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1983-11-01,28511,2024/08/13 09:31:54,333359
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1983-12-01,28466,2024/08/13 09:31:54,333359
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1983-10-01,28324,2024/08/13 09:31:54,333359
Alcoholic beverages,Beer,1989-12-01,28230,2024/08/13 09:31:54,331894
Alcoholic beverages,Beer,1989-11-01,28073,2024/08/13 09:31:54,331894
Alcoholic beverages,Beer,1989-09-01,27882,2024/08/13 09:31:54,331894
Cereals and bakery products,Bakery products,1988-11-01,28422,2024/08/13 09:31:54,330815
Cereals and bakery products,Bakery products,1988-12-01,28314,2024/08/13 09:31:54,330815
Cereals and bakery products,Bakery products,1988-10-01,28227,2024/08/13 09:31:54,330815
"Milk, dairy products, and eggs",Fresh milk,2020-03-01,31152,2024/08/13 09:31:54,329473
"Milk, dairy products, and eggs",Fresh milk,2020-05-01,27857,2024/08/13 09:31:54,329473
"Milk, dairy products, and eggs",Fresh milk,2020-07-01,27836,2024/08/13 09:31:54,329473
Meats and poultry,Beef and veal,2003-12-01,28188,2024/08/13 09:31:54,329112
Meats and poultry,Beef and veal,2003-11-01,28155,2024/08/13 09:31:54,329112
Meats and poultry,Beef and veal,2003-10-01,28039,2024/08/13 09:31:54,329112
Processed fruits and vegetables,Processed fruits and vegetables,2015-12-01,27732,2024/08/13 09:31:54,329103
Processed fruits and vegetables,Processed fruits and vegetables,2015-11-01,27686,2024/08/13 09:31:54,329103
Processed fruits and vegetables,Processed fruits and vegetables,2015-09-01,27603,2024/08/13 09:31:54,329103
Cereals and bakery products,Cereals,2001-05-01,27439,2024/08/13 09:31:54,328004
Cereals and bakery products,Cereals,2001-09-01,27433,2024/08/13 09:31:54,328004
Cereals and bakery products,Cereals,2001-12-01,27432,2024/08/13 09:31:54,328004
Meats and poultry,Beef and veal,1990-06-01,27497,2024/08/13 09:31:54,326696
Meats and poultry,Beef and veal,1990-09-01,27483,2024/08/13 09:31:54,326696
Meats and poultry,Beef and veal,1990-03-01,27471,2024/08/13 09:31:54,326696
Fresh fruits and vegetables,Fruit (fresh),2008-07-01,27440,2024/08/13 09:31:54,325931
Fresh fruits and vegetables,Fruit (fresh),2008-06-01,27428,2024/08/13 09:31:54,325931
Fresh fruits and vegetables,Fruit (fresh),2008-08-01,27419,2024/08/13 09:31:54,325931
Meats and poultry,Other meats,2010-11-01,27476,2024/08/13 09:31:54,325577
Meats and poultry,Other meats,2010-12-01,27462,2024/08/13 09:31:54,325577
Meats and poultry,Other meats,2010-02-01,27415,2024/08/13 09:31:54,325577
Fresh fruits and vegetables,Fruit (fresh),2009-12-01,28159,2024/08/13 09:31:54,325314
Fresh fruits and vegetables,Fruit (fresh),2009-11-01,27685,2024/08/13 09:31:54,325314
Fresh fruits and vegetables,Fruit (fresh),2009-10-01,27513,2024/08/13 09:31:54,325314
Cereals and bakery products,Cereals,2002-11-01,27240,2024/08/13 09:31:54,324951
Cereals and bakery products,Cereals,2002-03-01,27234,2024/08/13 09:31:54,324951
Cereals and bakery products,Cereals,2002-02-01,27174,2024/08/13 09:31:54,324951
Meats and poultry,Other meats,2008-08-01,27237,2024/08/13 09:31:54,323980
Meats and poultry,Other meats,2008-07-01,27198,2024/08/13 09:31:54,323980
Meats and poultry,Other meats,2008-11-01,27155,2024/08/13 09:31:54,323980
Sugar and sweets,Sugar and sweets,1995-12-01,27418,2024/08/13 09:31:54,323390
Sugar and sweets,Sugar and sweets,1995-11-01,27070,2024/08/13 09:31:54,323390
Sugar and sweets,Sugar and sweets,1995-10-01,27006,2024/08/13 09:31:54,323390
Meats and poultry,Other meats,2009-01-01,27341,2024/08/13 09:31:54,323318
Meats and poultry,Other meats,2009-12-01,27061,2024/08/13 09:31:54,323318
Meats and poultry,Other meats,2009-10-01,26955,2024/08/13 09:31:54,323318
Cereals and bakery products,Cereals,2000-12-01,27359,2024/08/13 09:31:54,323160
Cereals and bakery products,Cereals,2000-10-01,27194,2024/08/13 09:31:54,323160
Cereals and bakery products,Cereals,2000-11-01,27087,2024/08/13 09:31:54,323160
Meats and poultry,Beef and veal,1989-12-01,27132,2024/08/13 09:31:54,320987
Meats and poultry,Beef and veal,1989-09-01,26899,2024/08/13 09:31:54,320987
Meats and poultry,Beef and veal,1989-11-01,26878,2024/08/13 09:31:54,320987
Processed fruits and vegetables,Processed fruits and vegetables,2014-12-01,27138,2024/08/13 09:31:54,320772
Processed fruits and vegetables,Processed fruits and vegetables,2014-11-01,27090,2024/08/13 09:31:54,320772
Processed fruits and vegetables,Processed fruits and vegetables,2014-10-01,27006,2024/08/13 09:31:54,320772
Alcoholic beverages,Spirits,2014-12-01,27294,2024/08/13 09:31:54,320743
Alcoholic beverages,Spirits,2014-10-01,27197,2024/08/13 09:31:54,320743
Alcoholic beverages,Spirits,2014-06-01,27003,2024/08/13 09:31:54,320743
Fresh fruits and vegetables,Vegetables (fresh),2000-12-01,27935,2024/08/13 09:31:54,320316
Fresh fruits and vegetables,Vegetables (fresh),2000-11-01,27509,2024/08/13 09:31:54,320316
Fresh fruits and vegetables,Vegetables (fresh),2000-10-01,27470,2024/08/13 09:31:54,320316
Alcoholic beverages,Beer,1988-12-01,27062,2024/08/13 09:31:54,320029
Alcoholic beverages,Beer,1988-08-01,26950,2024/08/13 09:31:54,320029
Alcoholic beverages,Beer,1988-05-01,26927,2024/08/13 09:31:54,320029
Meats and poultry,Beef and veal,1991-05-01,27253,2024/08/13 09:31:54,319769
Meats and poultry,Beef and veal,1991-03-01,27167,2024/08/13 09:31:54,319769
Meats and poultry,Beef and veal,1991-06-01,26980,2024/08/13 09:31:54,319769
Meats and poultry,Pork,2010-12-01,27266,2024/08/13 09:31:54,319646
Meats and poultry,Pork,2010-11-01,27170,2024/08/13 09:31:54,319646
Meats and poultry,Pork,2010-02-01,26785,2024/08/13 09:31:54,319646
"Milk, dairy products, and eggs",Processed dairy products,2002-11-01,26896,2024/08/13 09:31:54,318756
"Milk, dairy products, and eggs",Processed dairy products,2002-12-01,26802,2024/08/13 09:31:54,318756
"Milk, dairy products, and eggs",Processed dairy products,2002-07-01,26643,2024/08/13 09:31:54,318756
Cereals and bakery products,Cereals,1999-12-01,27600,2024/08/13 09:31:54,318320
Cereals and bakery products,Cereals,1999-09-01,26704,2024/08/13 09:31:54,318320
Cereals and bakery products,Cereals,1999-11-01,26607,2024/08/13 09:31:54,318320
Cereals and bakery products,Bakery products,1985-12-01,26732,2024/08/13 09:31:54,316993
Cereals and bakery products,Bakery products,1985-11-01,26679,2024/08/13 09:31:54,316993
Cereals and bakery products,Bakery products,1985-09-01,26651,2024/08/13 09:31:54,316993
Meats and poultry,Beef and veal,2002-11-01,26643,2024/08/13 09:31:54,316354
Meats and poultry,Beef and veal,2002-12-01,26552,2024/08/13 09:31:54,316354
Meats and poultry,Beef and veal,2002-07-01,26415,2024/08/13 09:31:54,316354
Meats and poultry,Pork,2009-01-01,26544,2024/08/13 09:31:54,316078
Meats and poultry,Pork,2009-12-01,26482,2024/08/13 09:31:54,316078
Meats and poultry,Pork,2009-09-01,26397,2024/08/13 09:31:54,316078
Sugar and sweets,Sugar and sweets,1994-12-01,26755,2024/08/13 09:31:54,315381
Sugar and sweets,Sugar and sweets,1994-11-01,26673,2024/08/13 09:31:54,315381
Sugar and sweets,Sugar and sweets,1994-10-01,26651,2024/08/13 09:31:54,315381
Meats and poultry,Beef and veal,1988-08-01,26552,2024/08/13 09:31:54,314532
Meats and poultry,Beef and veal,1988-11-01,26530,2024/08/13 09:31:54,314532
Meats and poultry,Beef and veal,1988-10-01,26449,2024/08/13 09:31:54,314532
Meats and poultry,Poultry,1995-12-01,26920,2024/08/13 09:31:54,314073
Meats and poultry,Poultry,1995-11-01,26531,2024/08/13 09:31:54,314073
Meats and poultry,Poultry,1995-10-01,26418,2024/08/13 09:31:54,314073
Alcoholic beverages,Beer,1987-12-01,26436,2024/08/13 09:31:54,313789
Alcoholic beverages,Beer,1987-11-01,26323,2024/08/13 09:31:54,313789
Alcoholic beverages,Beer,1987-10-01,26320,2024/08/13 09:31:54,313789
Fresh fruits and vegetables,Fruit (fresh),2007-12-01,27018,2024/08/13 09:31:54,313704
Fresh fruits and vegetables,Fruit (fresh),2007-11-01,26789,2024/08/13 09:31:54,313704
Fresh fruits and vegetables,Fruit (fresh),2007-10-01,26603,2024/08/13 09:31:54,313704
Meats and poultry,Beef and veal,2001-12-01,26463,2024/08/13 09:31:54,313492
Meats and poultry,Beef and veal,2001-10-01,26352,2024/08/13 09:31:54,313492
Meats and poultry,Beef and veal,2001-09-01,26325,2024/08/13 09:31:54,313492
Alcoholic beverages,Beer,1986-10-01,26331,2024/08/13 09:31:54,313081
Alcoholic beverages,Beer,1986-06-01,26317,2024/08/13 09:31:54,313081
Alcoholic beverages,Beer,1986-07-01,26302,2024/08/13 09:31:54,313081
"Milk, dairy products, and eggs",Processed dairy products,2001-12-01,26518,2024/08/13 09:31:54,312148
"Milk, dairy products, and eggs",Processed dairy products,2001-10-01,26341,2024/08/13 09:31:54,312148
"Milk, dairy products, and eggs",Processed dairy products,2001-11-01,26290,2024/08/13 09:31:54,312148
Processed fruits and vegetables,Processed fruits and vegetables,2013-12-01,26362,2024/08/13 09:31:54,312054
Processed fruits and vegetables,Processed fruits and vegetables,2013-09-01,26172,2024/08/13 09:31:54,312054
Processed fruits and vegetables,Processed fruits and vegetables,2013-10-01,26161,2024/08/13 09:31:54,312054
Alcoholic beverages,Wine,2005-12-01,26928,2024/08/13 09:31:54,311889
Alcoholic beverages,Wine,2005-11-01,26760,2024/08/13 09:31:54,311889
Alcoholic beverages,Wine,2005-10-01,26612,2024/08/13 09:31:54,311889
Cereals and bakery products,Bakery products,1987-12-01,26489,2024/08/13 09:31:54,311801
Cereals and bakery products,Bakery products,1987-11-01,26314,2024/08/13 09:31:54,311801
Cereals and bakery products,Bakery products,1987-10-01,26271,2024/08/13 09:31:54,311801
Fats and oils,Fats and oils,2020-03-01,29730,2024/08/13 09:31:54,311732
Fats and oils,Fats and oils,2020-05-01,26512,2024/08/13 09:31:54,311732
Fats and oils,Fats and oils,2020-07-01,26377,2024/08/13 09:31:54,311732
Meats and poultry,Pork,2008-11-01,26313,2024/08/13 09:31:54,310399
Meats and poultry,Pork,2008-10-01,26288,2024/08/13 09:31:54,310399
Meats and poultry,Pork,2008-12-01,26253,2024/08/13 09:31:54,310399
Cereals and bakery products,Cereals,1997-03-01,26082,2024/08/13 09:31:54,309906
Cereals and bakery products,Cereals,1997-02-01,26035,2024/08/13 09:31:54,309906
Cereals and bakery products,Cereals,1997-04-01,25964,2024/08/13 09:31:54,309906
Meats and poultry,Beef and veal,1987-02-01,26199,2024/08/13 09:31:54,309681
Meats and poultry,Beef and veal,1987-04-01,26178,2024/08/13 09:31:54,309681
Meats and poultry,Beef and veal,1987-03-01,26101,2024/08/13 09:31:54,309681
Cereals and bakery products,Cereals,1998-12-01,26200,2024/08/13 09:31:54,309427
Cereals and bakery products,Cereals,1998-11-01,26032,2024/08/13 09:31:54,309427
Cereals and bakery products,Cereals,1998-10-01,25971,2024/08/13 09:31:54,309427
Meats and poultry,Other meats,2007-12-01,26633,2024/08/13 09:31:54,309307
Meats and poultry,Other meats,2007-11-01,26411,2024/08/13 09:31:54,309307
Meats and poultry,Other meats,2007-10-01,26138,2024/08/13 09:31:54,309307
Alcoholic beverages,Spirits,2013-12-01,26188,2024/08/13 09:31:54,308544
Alcoholic beverages,Spirits,2013-11-01,26079,2024/08/13 09:31:54,308544
Alcoholic beverages,Spirits,2013-09-01,25974,2024/08/13 09:31:54,308544
Cereals and bakery products,Bakery products,1986-01-01,26622,2024/08/13 09:31:54,308265
Cereals and bakery products,Bakery products,1986-02-01,26252,2024/08/13 09:31:54,308265
Cereals and bakery products,Bakery products,1986-03-01,26133,2024/08/13 09:31:54,308265
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1982-12-01,27111,2024/08/13 09:31:54,307456
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1982-10-01,26703,2024/08/13 09:31:54,307456
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1982-11-01,26540,2024/08/13 09:31:54,307456
Meats and poultry,Beef and veal,1986-12-01,26051,2024/08/13 09:31:54,306553
Meats and poultry,Beef and veal,1986-10-01,25987,2024/08/13 09:31:54,306553
Meats and poultry,Beef and veal,1986-11-01,25987,2024/08/13 09:31:54,306553
Meats and poultry,Beef and veal,1992-01-01,26227,2024/08/13 09:31:54,305615
Meats and poultry,Beef and veal,1992-02-01,25905,2024/08/13 09:31:54,305615
Meats and poultry,Beef and veal,1992-04-01,25687,2024/08/13 09:31:54,305615
"Milk, dairy products, and eggs",Fresh milk,2019-08-01,25642,2024/08/13 09:31:54,303582
"Milk, dairy products, and eggs",Fresh milk,2019-07-01,25614,2024/08/13 09:31:54,303582
"Milk, dairy products, and eggs",Fresh milk,2019-11-01,25540,2024/08/13 09:31:54,303582
Meats and poultry,Beef and veal,2000-12-01,25881,2024/08/13 09:31:54,303390
Meats and poultry,Beef and veal,2000-10-01,25649,2024/08/13 09:31:54,303390
Meats and poultry,Beef and veal,2000-11-01,25584,2024/08/13 09:31:54,303390
Sugar and sweets,Sugar and sweets,1993-12-01,25709,2024/08/13 09:31:54,302466
Sugar and sweets,Sugar and sweets,1993-11-01,25585,2024/08/13 09:31:54,302466
Sugar and sweets,Sugar and sweets,1993-10-01,25454,2024/08/13 09:31:54,302466
Alcoholic beverages,Spirits,2012-12-01,25500,2024/08/13 09:31:54,301783
Alcoholic beverages,Spirits,2012-05-01,25390,2024/08/13 09:31:54,301783
Alcoholic beverages,Spirits,2012-11-01,25293,2024/08/13 09:31:54,301783
Processed fruits and vegetables,Processed fruits and vegetables,2012-12-01,25563,2024/08/13 09:31:54,301105
Processed fruits and vegetables,Processed fruits and vegetables,2012-11-01,25488,2024/08/13 09:31:54,301105
Processed fruits and vegetables,Processed fruits and vegetables,2012-10-01,25459,2024/08/13 09:31:54,301105
Cereals and bakery products,Cereals,1996-12-01,25730,2024/08/13 09:31:54,300645
Cereals and bakery products,Cereals,1996-11-01,25591,2024/08/13 09:31:54,300645
Cereals and bakery products,Cereals,1996-10-01,25497,2024/08/13 09:31:54,300645
Meats and poultry,Beef and veal,1993-02-01,25114,2024/08/13 09:31:54,299138
Meats and poultry,Beef and veal,1993-05-01,25084,2024/08/13 09:31:54,299138
Meats and poultry,Beef and veal,1993-03-01,24986,2024/08/13 09:31:54,299138
Cereals and bakery products,Bakery products,1984-11-01,25664,2024/08/13 09:31:54,298888
Cereals and bakery products,Bakery products,1984-12-01,25550,2024/08/13 09:31:54,298888
Cereals and bakery products,Bakery products,1984-09-01,25468,2024/08/13 09:31:54,298888
Meats and poultry,Poultry,1994-12-01,25638,2024/08/13 09:31:54,298809
Meats and poultry,Poultry,1994-11-01,25507,2024/08/13 09:31:54,298809
Meats and poultry,Poultry,1994-10-01,25433,2024/08/13 09:31:54,298809
"Milk, dairy products, and eggs",Processed dairy products,2000-12-01,25598,2024/08/13 09:31:54,298534
"Milk, dairy products, and eggs",Processed dairy products,2000-10-01,25324,2024/08/13 09:31:54,298534
"Milk, dairy products, and eggs",Processed dairy products,2000-11-01,25284,2024/08/13 09:31:54,298534
Meats and poultry,Beef and veal,1994-06-01,24966,2024/08/13 09:31:54,298126
Meats and poultry,Beef and veal,1994-09-01,24936,2024/08/13 09:31:54,298126
Meats and poultry,Beef and veal,1994-08-01,24928,2024/08/13 09:31:54,298126
Sugar and sweets,Sugar and sweets,1992-10-01,25039,2024/08/13 09:31:54,296329
Sugar and sweets,Sugar and sweets,1992-12-01,25030,2024/08/13 09:31:54,296329
Sugar and sweets,Sugar and sweets,1992-11-01,24987,2024/08/13 09:31:54,296329
Meats and poultry,Beef and veal,1982-07-01,24959,2024/08/13 09:31:54,296183
Meats and poultry,Beef and veal,1982-10-01,24890,2024/08/13 09:31:54,296183
Meats and poultry,Beef and veal,1982-12-01,24826,2024/08/13 09:31:54,296183
Alcoholic beverages,Beer,1985-12-01,25783,2024/08/13 09:31:54,295846
Alcoholic beverages,Beer,1985-09-01,25704,2024/08/13 09:31:54,295846
Alcoholic beverages,Beer,1985-11-01,25426,2024/08/13 09:31:54,295846
Alcoholic beverages,Wine,2004-10-01,25145,2024/08/13 09:31:54,295298
Alcoholic beverages,Wine,2004-11-01,25142,2024/08/13 09:31:54,295298
Alcoholic beverages,Wine,2004-12-01,25118,2024/08/13 09:31:54,295298
"Milk, dairy products, and eggs",Fresh milk,2018-11-01,24926,2024/08/13 09:31:54,294718
"Milk, dairy products, and eggs",Fresh milk,2018-10-01,24767,2024/08/13 09:31:54,294718
"Milk, dairy products, and eggs",Fresh milk,2018-08-01,24689,2024/08/13 09:31:54,294718
Fresh fruits and vegetables,Vegetables (fresh),1999-12-01,26370,2024/08/13 09:31:54,294104
Fresh fruits and vegetables,Vegetables (fresh),1999-11-01,25275,2024/08/13 09:31:54,294104
Fresh fruits and vegetables,Vegetables (fresh),1999-09-01,25065,2024/08/13 09:31:54,294104
Processed fruits and vegetables,Processed fruits and vegetables,2011-11-01,24643,2024/08/13 09:31:54,293908
Processed fruits and vegetables,Processed fruits and vegetables,2011-10-01,24633,2024/08/13 09:31:54,293908
Processed fruits and vegetables,Processed fruits and vegetables,2011-08-01,24616,2024/08/13 09:31:54,293908
Meats and poultry,Beef and veal,1999-12-01,25696,2024/08/13 09:31:54,293713
Meats and poultry,Beef and veal,1999-09-01,24758,2024/08/13 09:31:54,293713
Meats and poultry,Beef and veal,1999-11-01,24740,2024/08/13 09:31:54,293713
Meats and poultry,Pork,2007-12-01,25178,2024/08/13 09:31:54,293629
Meats and poultry,Pork,2007-11-01,24972,2024/08/13 09:31:54,293629
Meats and poultry,Pork,2007-10-01,24724,2024/08/13 09:31:54,293629
Meats and poultry,Beef and veal,1981-01-01,24598,2024/08/13 09:31:54,293507
Meats and poultry,Beef and veal,1981-04-01,24587,2024/08/13 09:31:54,293507
Meats and poultry,Beef and veal,1981-05-01,24527,2024/08/13 09:31:54,293507
Meats and poultry,Beef and veal,1980-08-01,24588,2024/08/13 09:31:54,293075
Meats and poultry,Beef and veal,1980-03-01,24519,2024/08/13 09:31:54,293075
Meats and poultry,Beef and veal,1980-10-01,24485,2024/08/13 09:31:54,293075
Meats and poultry,Beef and veal,1984-06-01,24721,2024/08/13 09:31:54,293056
Meats and poultry,Beef and veal,1984-04-01,24622,2024/08/13 09:31:54,293056
Meats and poultry,Beef and veal,1984-03-01,24568,2024/08/13 09:31:54,293056
Fresh fruits and vegetables,Fruit (fresh),2006-12-01,25285,2024/08/13 09:31:54,292986
Fresh fruits and vegetables,Fruit (fresh),2006-10-01,25122,2024/08/13 09:31:54,292986
Fresh fruits and vegetables,Fruit (fresh),2006-11-01,24984,2024/08/13 09:31:54,292986
Meats and poultry,Beef and veal,1983-07-01,24628,2024/08/13 09:31:54,292865
Meats and poultry,Beef and veal,1983-04-01,24600,2024/08/13 09:31:54,292865
Meats and poultry,Beef and veal,1983-06-01,24580,2024/08/13 09:31:54,292865
Meats and poultry,Beef and veal,1995-01-01,24832,2024/08/13 09:31:54,291118
